iter,loss,updates,lr,mae,over,greedy,profile
43500,0.19121,87,1.2904005466892093e-05,,,,"{""1"": 0.982, ""5"": 4.851, ""10"": 9.673, ""15"": 12.456, ""20"": 13.462, ""25"": 13.902, ""30"": 14.128}"
44000,0.19288,88,1.2274639005344101e-05,,,,"{""1"": 1.019, ""5"": 4.831, ""10"": 9.667, ""15"": 12.463, ""20"": 13.474, ""25"": 13.917, ""30"": 14.143}"
44500,0.19495,89,1.1675968605103413e-05,,,,"{""1"": 1.004, ""5"": 4.83, ""10"": 9.663, ""15"": 12.461, ""20"": 13.478, ""25"": 13.926, ""30"": 14.154}"
45000,0.19632,90,1.1106497128592222e-05,,,,"{""1"": 0.999, ""5"": 4.834, ""10"": 9.676, ""15"": 12.48, ""20"": 13.503, ""25"": 13.954, ""30"": 14.184}"
45500,0.19592,91,1.056480045805458e-05,,,,"{""1"": 0.996, ""5"": 4.848, ""10"": 9.665, ""15"": 12.47, ""20"": 13.494, ""25"": 13.946, ""30"": 14.176}"
46000,0.19685,92,1.0049523934163915e-05,,,,"{""1"": 0.987, ""5"": 4.868, ""10"": 9.664, ""15"": 12.473, ""20"": 13.496, ""25"": 13.949, ""30"": 14.179}"
46500,0.19569,93,9.559378968330285e-06,,,,"{""1"": 0.988, ""5"": 4.844, ""10"": 9.666, ""15"": 12.474, ""20"": 13.499, ""25"": 13.951, ""30"": 14.181}"
47000,0.19559,94,9.093139820235477e-06,,,,"{""1"": 0.996, ""5"": 4.829, ""10"": 9.656, ""15"": 12.468, ""20"": 13.495, ""25"": 13.948, ""30"": 14.178}"
47500,0.19601,95,8.649640532537082e-06,,,,"{""1"": 0.999, ""5"": 4.825, ""10"": 9.652, ""15"": 12.457, ""20"": 13.486, ""25"": 13.939, ""30"": 14.17}"
48000,0.19475,96,8.227772015076205e-06,,,,"{""1"": 0.997, ""5"": 4.824, ""10"": 9.647, ""15"": 12.452, ""20"": 13.479, ""25"": 13.934, ""30"": 14.165}"
48500,0.19505,97,7.826479271296906e-06,,,,"{""1"": 1.0, ""5"": 4.831, ""10"": 9.64, ""15"": 12.441, ""20"": 13.467, ""25"": 13.921, ""30"": 14.152}"
49000,0.19497,98,7.444758759941517e-06,,,,"{""1"": 1.006, ""5"": 4.841, ""10"": 9.638, ""15"": 12.44, ""20"": 13.464, ""25"": 13.916, ""30"": 14.148}"
49500,0.19392,99,7.081655885423643e-06,,,,"{""1"": 0.991, ""5"": 4.845, ""10"": 9.638, ""15"": 12.443, ""20"": 13.466, ""25"": 13.916, ""30"": 14.148}"
